id,protein_id,annotation,locus_tag,gene,start,end,strand,accession,Exp.,DeepSecE,DeepSecE(0.6)
1,NP_064721.1,chromosome replication initiator DnaA,PA0001,dnaA,483,2027,+,NC_002516.2,0,0,0
2,NP_064722.1,DNA polymerase III subunit beta,PA0002,dnaN,2056,3159,+,NC_002516.2,0,0,0
3,NP_064723.1,DNA replication and repair protein RecF,PA0003,recF,3169,4278,+,NC_002516.2,0,0,0
4,NP_064724.1,DNA gyrase subunit B,PA0004,gyrB,4275,6695,+,NC_002516.2,0,0,0
5,NP_064725.1,lysophosphatidic acid acyltransferase,PA0005,lptA,7018,7791,-,NC_002516.2,0,0,0
6,NP_064726.1,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",PA0006,,7803,8339,-,NC_002516.2,0,0,0
7,NP_064727.1,hypothetical protein,PA0007,,8671,10377,+,NC_002516.2,0,0,0
8,NP_064728.1,glycine--tRNA ligase subunit beta,PA0008,glyS,10434,12488,-,NC_002516.2,0,0,0
9,NP_064729.1,glycine--tRNA ligase subunit alpha,PA0009,glyQ,12488,13435,-,NC_002516.2,0,0,0
10,NP_248700.1,DNA-3-methyladenine glycosidase I,PA0010,tag,13540,14091,+,NC_002516.2,0,0,0
11,NP_248701.1,lipid A biosynthesis lauroyl acyltransferase,PA0011,,14235,15122,+,NC_002516.2,0,0,0
12,NP_248702.1,hypothetical protein,PA0012,,15207,15473,+,NC_002516.2,0,0,0
13,NP_248703.1,hypothetical protein,PA0013,,15620,16273,+,NC_002516.2,0,0,0
14,NP_248704.1,hypothetical protein,PA0014,,16335,16607,-,NC_002516.2,0,0,0
15,NP_248705.1,hypothetical protein,PA0015,,16900,17217,-,NC_002516.2,0,0,0
16,NP_248706.1,potassium transporter inner membrane associated protein,PA0016,trkA,17366,18739,-,NC_002516.2,0,0,0
17,NP_248707.1,Ribosomal RNA small subunit methyltransferase B,PA0017,,18767,20071,-,NC_002516.2,0,0,0
18,NP_248708.1,methionyl-tRNA formyltransferase,PA0018,fmt,20068,21012,-,NC_002516.2,0,0,0
19,NP_248709.1,peptide deformylase,PA0019,def,21067,21573,-,NC_002516.2,0,0,0
20,NP_248710.1,hypothetical protein,PA0020,,21712,22737,+,NC_002516.2,0,0,0
21,NP_248711.1,hypothetical protein,PA0021,,22872,23960,+,NC_002516.2,0,0,0
22,NP_248712.1,threonylcarbamoyl-AMP synthase,PA0022,,24001,24558,+,NC_002516.2,0,0,0
23,NP_248713.1,oxygen-dependent quinone oxidoreductase,PA0023,qor,24568,25545,-,NC_002516.2,0,0,0
24,NP_248714.1,coproporphyrinogen III oxidase,PA0024,hemF,25736,26653,+,NC_002516.2,0,0,0
25,NP_248715.1,shikimate dehydrogenase,PA0025,aroE,26711,27535,+,NC_002516.2,0,0,0
26,NP_248716.1,phospholipase C,PA0026,plcB,27646,28632,+,NC_002516.2,0,0,0
27,NP_248717.1,hypothetical protein,PA0027,,28613,29899,+,NC_002516.2,0,0,0
28,NP_248718.1,hypothetical protein,PA0028,,29896,30498,+,NC_002516.2,0,0,0
29,NP_248719.1,sulfate transporter,PA0029,,30502,32055,-,NC_002516.2,0,0,0
30,NP_248720.1,hypothetical protein,PA0030,,32060,32983,-,NC_002516.2,0,0,0
